District,Nitrogen___High,Nitrogen_Medium,Nitrogen_Low,Phosphorous_High,Phosphorous_Medium,Phosphorous_Low,Potassium_High,Potassium_Medium,Potassium_Low,OC_High,OC_Medium,OC_Low,EC_Saline,EC__Non_Saline,pH_Acidic,pH_Neutral,pH_Alkaline,Recommended_Crop,Latitude,Longitude
 SOUTH ANDAMAN ,1.84343742813062,1.01018167171695,0.59877419419551,0.720349781482634,0.867292913291702,0.360185408494854,0.666887824481617,0.617994658285413,0.958217809016963,1.02788854836132,0.468387773486627,0.302935356896074,1.27148516089381,0.443473619017304,1.15386805048988,0.149392846034534,1.03100849791164,Rice,11.6234,92.7265
 MIDDLE ANDAMAN ,-0.533231070452163,0.955593156507114,1.04229931126093,0.672873220103301,0.386463804613148,0.447063081624834,0.626315469282228,0.416190190243998,0.814407848013707,1.0030958792893,0.403270191476644,0.482101955492864,1.39785577210088,-0.158474272945433,1.35965397497241,0.3401998745126,1.03100849791164,Rice,12.9304,92.7456
 NORTH ANDAMAN ,1.84343742813062,1.09889413840141,0.175046378355796,0.585845502801537,0.409925175885908,0.498598009615748,0.862071055961147,0.829094937943965,0.814407848013707,0.989995558946004,0.773757534106037,0.349257646825852,1.29172855698064,0.57268700698839,1.2182784655446,0.30747588049625,1.10166593502118,Rice,13.2404,93.0096
 TAWANG,1.84343742813062,1.07579806182082,0.417145602139253,0.742947606932645,0.281278353774909,0.669210149872853,0.415218335897732,0.674620862790843,0.425570558322963,1.12580305060716,0.563844765215673,0.446140170776375,1.32761311106132,0.339631622611491,1.27257864392301,0.30747588049625,1.20864393421573,Millet,27.5861,91.8697
HYDERABAD,-0.533231070452163,0.848353499754351,0.399928907816341,0.757624425912942,0.307719350624236,0.40522873271463,0.466268671251135,0.0276647188516616,0.9883926098706,1.15566265495811,0.639005270629358,0.594699946705129,1.24939600481659,0.222153322735699,1.31914887477116,0.323962141263995,1.159783431196,Rice,17.385,78.4867
WEAT KAMENG,-0.533231070452163,1.03120491426949,0.623910324990026,0.846340505043483,0.333367825067331,0.669210149872853,0.825685288061371,0.465901715614696,1.00279948752448,0.852935498943496,0.134587694375293,0.336871147735539,1.24939600481659,0.410745584965397,1.2182784655446,0.199710005532746,0.670627747097346,Rice,27.3,92.4
GUWAHATI,-0.533231070452163,1.02433726413286,0.543875846640349,0.604139788170116,0.102133917707744,0.802155549326578,0.786731532347819,0.359572127275733,0.891572562615488,1.00946396507806,0.846525197747251,0.597812298472704,0.520230551684669,0.477720929619761,1.27257864392301,0.42791866039748,1.159783431196,Rice,26.1445,91.7362
SONITPUR,1.84343742813062,0.99542858493712,0.394112350659808,0.735494405400692,0.748343422755563,0.328105447546895,0.773109298547867,0.649561792928294,0.74746485699758,0.947439240196736,0.754241632295386,0.361468419108743,1.32761311106132,0.489714495486788,1.39529766300388,0.196636848493287,1.10166593502118,Rice,26.6338,92.8
JORHT,-0.533231070452163,0.729215572405638,0.610284660598583,0.630711327923403,0.56873453053582,0.360185408494854,0.791198290869436,0.41983617523378,0.74746485699758,1.07263932727247,0.598341669904753,0.594699946705129,1.09757442260859,0.257861817724456,0.978519866060535,0.595984345738681,1.20864393421573,Millet,26.75,94.2167
PATANA,1.84343742813062,0.799995904010244,0.445098217603556,0.430549981377637,0.649432700046608,0.794641018947266,0.854189547137891,0.147463148434185,0.670204172351569,1.07263932727247,0.747605485581832,0.00937309173688737,1.24939600481659,0.418380768246553,1.2182784655446,0.7787020366819,1.159783431196,Millet,25.5941,85.1376
